path;community;model name;price;square feet;beds;baths;cars;home style;primary bed;full bath main;full bed on first;den/study
/new-homes/idaho/boise-metro/meridian/woodcrest-townhomes/lotus;Woodcrest Townhomes;Lotus;$ 439,990;1,774;3;2.5;2;Townhome;Up;No;No;
/new-homes/idaho/boise-metro/meridian/woodcrest-townhomes/orchid;Woodcrest Townhomes;Orchid;$ 459,990;2,001;3 - 4;2.5;2;Townhome;;;;Yes
/new-homes/idaho/boise-metro/middleton/waterford/agate;Waterford;Agate;$ 514,990;3,435 - 3,654;4 - 6;2.5 - 3;3 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/middleton/waterford/alturas;Waterford;Alturas;$ 383,990;1,446;3;2;3;1 Story;Down;;;
/new-homes/idaho/boise-metro/middleton/waterford/amethyst;Waterford;Amethyst;$ 433,990;2,008 - 2,204;3 - 5;2.5 - 3;3 - 4;1 Story;Down;;;
/new-homes/idaho/boise-metro/middleton/waterford/birch;Waterford;Birch;$ 398,990;1,620;3;2;3;1 Story;Down;;;
/new-homes/idaho/boise-metro/middleton/waterford/brookfield;Waterford;Brookfield;$ 411,990;1,888;3 - 4;2;3;1 Story;Down;;;
/new-homes/idaho/boise-metro/middleton/waterford/brookfield-bonus;Waterford;Brookfield Bonus;$ 436,990;2,279;3 - 5;2 - 3;3;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/middleton/waterford/crestwood;Waterford;Crestwood;$ 423,990;2,009;3 - 4;2;3;1 Story;Down;;;
/new-homes/idaho/boise-metro/middleton/waterford/emerald;Waterford;Emerald;$ 455,990;2,433 - 2,633;3 - 4;3;3 - 4;1 Story;Down;;;
/new-homes/idaho/boise-metro/middleton/waterford/garnet;Waterford;Garnet;$ 466,990;2,695;4 - 6;2.5 - 4;3;2 Story;Up;;;
/new-homes/idaho/boise-metro/middleton/waterford/maple-loft;Waterford;Maple Loft;$ 448,990;2,483;3 - 5;2.5 - 4;3;2 Story;Up;;;
/new-homes/idaho/boise-metro/middleton/waterford/opal-bonus;Waterford;Opal Bonus;$ 472,990;2,653 - 2,851;3 - 5;2.5 - 4;3 - 4;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/middleton/waterford/spruce;Waterford;Spruce;$ 482,990;3,065;4 - 7;2.5 - 4;3;2 Story;Up;;;
/new-homes/idaho/boise-metro/middleton/waterford/topaz;Waterford;Topaz;$ 492,990;3,064 - 3,298;4 - 5;3.5;3 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/middleton/waterford/trinity;Waterford;Trinity;$ 470,990;2,804;4 - 6;2.5 - 3.5;3;Primary Down;Down;;;
/new-homes/idaho/boise-metro/middleton/waterford/yosemite;Waterford;Yosemite;$ 500,990;3,259;4 - 7;3.5 - 4;3;2 Story;Up;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/agate;Silverstone North;Agate;TBD;3,435 - 3,654;4 - 6;2.5 - 3;2 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/alturas;Silverstone North;Alturas;TBD;1,446;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/amethyst;Silverstone North;Amethyst;TBD;2,008 - 2,204;3 - 5;2.5 - 3;2 - 4;1 Story;Down;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/ashton;Silverstone North;Ashton;TBD;1,466;3;2;2;1 Story;Down;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/birch;Silverstone North;Birch;TBD;1,620;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/brookfield;Silverstone North;Brookfield;TBD;1,888;3 - 4;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/brookfield-bonus;Silverstone North;Brookfield Bonus;TBD;2,279;3 - 5;2 - 3;2 - 3;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/crestwood;Silverstone North;Crestwood;TBD;2,009;3 - 4;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/emerald;Silverstone North;Emerald;TBD;2,433 - 2,633;3 - 4;3;2 - 4;1 Story;Down;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/garnet;Silverstone North;Garnet;TBD;2,695;4 - 6;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/maple-loft;Silverstone North;Maple Loft;TBD;2,483;3 - 5;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/monarch;Silverstone North;Monarch;TBD;1,230;3;2;2;1 Story;Down;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/monarch-bonus;Silverstone North;Monarch Bonus;TBD;1,666;3;2 - 3;2;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/payette;Silverstone North;Payette;TBD;1,880;3 - 4;2.5;2;2 Story;Up;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/ridenbaugh;Silverstone North;Ridenbaugh;TBD;1,244;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/spruce;Silverstone North;Spruce;TBD;3,065;4 - 7;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/tamarack;Silverstone North;Tamarack;TBD;1,519;3;2.5;2;2 Story;Up;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/tamarack-loft;Silverstone North;Tamarack Loft;TBD;1,700;3 - 4;2.5;2;2 Story;Up;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/topaz;Silverstone North;Topaz;TBD;3,064 - 3,298;4 - 5;3.5;2 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/trinity;Silverstone North;Trinity;See Agent for Details;2,804;4 - 6;2.5 - 3.5;2 - 3;Primary Down;Down;;;
/new-homes/idaho/boise-metro/mountain-home/silverstone-north/yosemite;Silverstone North;Yosemite;TBD;3,259;4 - 7;3.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/agate;Adams Ridge;Agate;$ 498,990;3,435 - 3,654;4 - 6;2.5 - 3;2 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/alturas;Adams Ridge;Alturas;$ 366,990;1,446;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/amethyst;Adams Ridge;Amethyst;$ 412,990;2,008 - 2,204;3 - 5;2.5 - 3;2 - 4;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/ashton;Adams Ridge;Ashton;$ 356,990;1,466;3;2;2;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/birch;Adams Ridge;Birch;$ 381,990;1,620;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/brookfield;Adams Ridge;Brookfield;$ 389,990;1,888;3 - 4;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/brookfield-bonus;Adams Ridge;Brookfield Bonus;$ 416,990;2,279;3 - 5;2 - 3;2 - 3;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/crestwood;Adams Ridge;Crestwood;$ 402,990;2,009;3 - 4;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/emerald;Adams Ridge;Emerald;$ 431,990;2,433 - 2,633;3 - 4;3;2 - 4;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/garnet;Adams Ridge;Garnet;$ 443,990;2,695;4 - 6;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/maple-loft;Adams Ridge;Maple Loft;$ 423,990;2,483;3 - 5;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/monarch;Adams Ridge;Monarch;$ 346,990;1,230;3;2;2;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/monarch-bonus;Adams Ridge;Monarch Bonus;$ 372,990;1,666;3;2 - 3;2;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/opal-bonus;Adams Ridge;Opal Bonus;$ 448,990;2,653 - 2,851;3 - 5;2.5 - 4;2 - 4;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/payette;Adams Ridge;Payette;$ 385,990;1,880;3 - 4;2.5;2;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/ridenbaugh;Adams Ridge;Ridenbaugh;$ 356,990;1,244;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/spruce;Adams Ridge;Spruce;$ 463,990;3,065;4 - 7;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/tamarack;Adams Ridge;Tamarack;$ 365,990;1,519;3;2.5;2;2 Story;Up;;;
